t,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17
11:00:00,2.81099439205,7.90604309371,5.62367399526,4.47493549027,4.99781690467,4.78062988808,4.48960306435,3.98893368739,8.1543069544,4.70319265477,5.10464437593,4.08810865155,5.54204458075,8.68057047046,8.68873195918,7.08580404128,3.46594779422,3.80432405466,3.87454621892,12.0070698349,7.38480807503,9.48324104506,5.86761451567,6.83604698289,2.04392403339,2.94044968922,7.03984947563,7.54108791478,8.59801654883,2.90752954808,5.54106150655,6.87762053037,3.93239041784,14.0793214989,4.96304634974,5.80970307282,8.78311227806,3.50214994542,6.85124337516,5.11904779664,12.4776196058,6.96314822442,3.92094470054,2.9223249496,6.00414012047,5.93923204969,6.85522122024,5.05744695368,-0.226974360968,0.219335945785,2.90437975183,2.89155762155,3.86436732564,17.7473234414,7.94558139596,11.5354379832,20.0134690043,10.9691189016,14.6012330522,18.9224804727,16.2171832586,23.4468572996,4.61414065003,6.99677337813,42.0000000001,2.76399879911,3.10371135156,4.1004966173,2.22007650252,2.00433068661,3.66410729227,3.66014015583,3.07293756151,2.67327137981,3.8996564514,6.08675256915,2.9042366753,2.84964669875,2.1727849895,1.2094836933,3.84226538907,5.79164523028,4.00571101133,4.07348597443,2.23747059447,4.82045048184,1.65675092582,3.0651312628,3.9548418641,3.72792234716
11:15:00,5.47694827087,8.47800853149,6.29165810947,7.93269305436,5.0342182941,8.01532968044,5.38522414951,6.37269368711,9.384672677,4.78763333629,6.78779598784,4.90261956366,11.7091579371,11.9007959046,6.32467123346,11.3348123928,5.59197380828,2.3601945892,4.49228161585,13.8474337221,9.01252079816,12.8937667614,6.40949940808,7.42989014946,4.11218991934,3.1579173585,8.90865801592,4.65918139656,9.25609294721,5.61132420058,7.69063296147,5.22065974292,4.30325461507,16.3890613747,7.67490518165,5.14975017458,7.83175386363,4.71055320461,6.23918915729,4.68723559551,10.1939600517,8.08127206062,4.02621859743,2.80897512061,8.68644797652,4.94968904486,5.24673906037,6.7419078987,1.74170328725,3.31059777678,5.81137092916,3.24794283686,3.25125815988,16.8015142821,10.3307097806,12.2267533443,15.6630892258,17.8008790762,12.5338131605,22.0117687406,19.3025483987,25.0268190771,6.2531819202,5.87539063304,42.0000000168,6.06684954324,4.93184564471,3.66496094845,5.45604312076,2.6809366009,4.1889941456,2.50864160041,3.46503897907,7.59173433948,3.28067964392,7.72063103571,4.69316428886,3.24725410611,6.00811781306,3.59445006294,2.2294766809,4.56948175172,5.03435560764,4.79047641047,4.4666957028,7.24314775932,4.53078352044,3.87920831475,3.10579087662,6.00994532097
11:30:00,10.0329582292,9.98954303212,10.722902271,6.64109571578,5.09245063688,13.443730592,11.3848145911,8.86711681298,9.0719688556,7.84014747006,7.42450384048,4.83604396031,12.4558254859,8.31531663421,7.07329091597,14.7257803316,13.0585218801,2.87282457716,6.36455482358,15.6170992603,16.792152771,11.4718820272,8.27523914382,9.66326348717,5.74121547141,3.97088813564,10.3789717999,6.36639573051,13.9340038573,9.23982337232,14.4295893508,4.78749365172,5.35021463386,17.9055862617,10.7563005162,6.39276654819,9.0492726686,10.8974570096,7.11470118779,3.06494542799,13.1341044395,9.56791365266,4.92204548887,3.47237579564,11.3273546279,4.56782554314,5.08604469812,7.85189930689,5.98012454516,4.20850014992,9.67456458813,4.68875183662,3.99447573768,18.3824707085,13.2600242057,17.5636888731,11.1780194038,14.9414502349,14.4540627469,25.8762522814,20.2160809529,22.1382078587,11.7508166901,4.78627410667,42.0000000327,11.7297122963,5.72286642228,2.22445910659,6.49124471378,3.31423564912,8.07280807625,4.75574148667,3.12776478158,5.77748350105,3.66513832246,8.48698381072,7.43972514945,5.14839452602,8.11560074159,3.88457949955,2.19403408203,5.43086597031,6.00589009064,4.77260710217,4.32121486643,11.4613402184,10.8373068568,4.04197273871,2.70832124816,11.0127448232
11:45:00,13.599597638,8.60013034359,9.76408543264,6.52385802825,4.85216194536,13.1062369375,13.7401022506,7.85592932,11.8263991762,8.95247514548,8.09036429613,3.98109968943,15.2700220489,12.1104689084,10.8005590804,23.0525435164,15.2863759847,3.69702758,5.8230874944,18.7710308796,16.7504152615,11.4475087774,8.69369448537,10.8767956725,5.36986116234,4.39569154343,11.965715912,10.6600378032,14.0906543187,8.60448957679,13.4409859945,4.59531952388,4.71682014506,13.9450674235,17.8277170395,9.94421971963,16.2870072761,9.93582986007,8.57345414212,2.18934337254,14.5822561944,10.9788701502,7.1367923951,7.59952627259,7.02097910477,5.90443059906,5.35353532738,10.3938726544,7.34100014989,7.61370583957,7.33645391884,5.81898003665,4.93776520379,17.001815485,13.9706129052,19.9243312948,9.79267723645,14.6908526,19.0115196848,31.1734389622,23.7604643484,30.0442598767,12.4338192573,5.00778368738,41.9999998789,11.4441036347,5.12120372164,2.12441543428,8.56448504876,7.05155495626,6.78453470558,8.71362225221,6.68134956328,4.58046167155,3.24967153385,10.3119748456,5.16990961548,7.58405990988,6.68620574947,4.04053444078,3.01851689272,4.76452806604,6.51964827058,5.38025420056,4.75936511259,6.83904544755,8.70097647241,4.11002875923,2.15610557147,11.3576441725
12:00:00,12.9678575755,10.5738238927,17.0328638364,7.09373738761,3.06849386316,14.605947112,29.8546690782,11.0516893334,21.5384787689,14.8148817513,5.61593531227,4.07006499584,13.0814675881,14.3194226342,16.6395346407,24.8511342905,21.1111012957,4.45937138756,5.5540530448,18.5932004073,26.9924918285,14.3317486746,12.1413347571,11.7784805104,4.02483275083,3.73977574831,10.394097438,11.873457196,21.844910798,16.1185516042,18.1119847036,5.78639810926,6.54447448092,10.7678135069,24.9466342758,22.281911733,22.9035695833,20.7240701596,8.56411081792,3.34814122778,16.4815743464,16.1908021764,11.9783714476,13.1536678929,5.58789415835,4.39203783571,4.16916116089,7.85528634849,10.875795387,16.1418761209,4.89388623011,8.35610448651,4.98011432623,23.3464642914,17.0993220556,26.0498786041,12.9612863833,19.9346040444,20.3150943787,29.7983138363,22.5775724839,32.6261327774,12.1207970192,9.95553819684,41.9999990602,9.60441717213,5.54262335737,3.46566320816,10.002120755,13.8978651561,11.0650788925,15.1370514679,7.46838010267,3.57577664753,3.57953510032,10.2519299845,7.51245655087,8.10129694888,8.75489739514,7.17718232871,2.04516359295,4.65053851575,6.11606305132,10.247722835,5.52733480431,8.12687885121,7.87337933608,4.22025321379,3.75960395779,9.53851845606
12:15:00,18.9327527405,16.1733736704,18.506039398,12.6249109073,9.97496858024,14.4835901363,19.7310745175,17.6076617786,23.8347310012,12.5928812215,5.92813188509,7.02422123007,16.1196615768,14.870658635,15.7176857072,18.1321498327,16.50450314,7.81614798963,10.0127499473,22.6572708748,28.1194134149,17.1606156078,16.1576844295,14.3083550801,9.0342243721,7.35367348239,12.7321643436,17.739625459,18.4090965752,18.1503424769,17.419887345,13.5497949189,7.80637952306,15.1834589243,19.8933613544,20.441447436,19.3874987264,22.802277711,9.30079259156,5.93561706695,14.9526559808,19.2916688519,9.3867708269,12.1027792722,6.63888149209,6.41887488567,6.11751913752,9.78487225245,8.22597404317,16.2716138732,5.07916964234,5.82780186932,13.6428588351,28.0851779567,17.5768687819,33.438215847,24.2112981396,26.6496964405,22.3585003845,31.9114723342,31.7046357747,33.3223854391,10.2921647995,12.967319583,41.9999982918,16.1640101755,8.19085392773,5.10488136202,13.4856579743,13.3425873198,13.80999844,17.6445741825,12.0179475454,6.53391951004,3.70326950555,12.243426616,12.3970086648,8.40655323538,14.4945827424,6.0040461976,6.43104373551,9.52368713597,9.13908463094,9.20677612901,8.77766117864,11.6850013583,11.0963376927,3.40923534758,8.26822080358,14.4728010364
12:30:00,32.6107220767,29.9232907402,39.8317756693,36.4541818246,45.1201696549,23.2204239105,24.8251872304,36.1602182463,28.9568915513,21.3031699772,18.7945158881,24.0641997842,23.7994276066,30.4984313919,22.7671339834,32.3948444163,36.327373887,21.8299355003,28.1139462266,32.6049012403,40.8072926789,33.6526367201,26.8689204028,22.6216513577,27.4778026531,23.1901599946,22.1069902152,27.2569421816,26.5464269507,29.882679175,29.2221487496,25.2105943713,20.0309923439,26.3235030188,20.9818646468,18.6393143468,37.1916380086,38.4698507213,17.3565126603,15.8646366854,31.3003547198,42.4614075341,9.51826423722,24.8781600965,13.9057812259,24.4527910244,14.0915945873,17.1784987446,12.275046035,23.0627607676,11.6857499748,8.20070400301,30.6461911981,28.4220743965,19.3407496537,29.0884420281,27.457299967,31.4670812173,25.9845074712,29.6903715236,40.4031597967,39.3102489668,25.22036723,17.8255278252,42.0000076876,35.0320681905,18.8433904572,11.242116748,11.6753952981,25.8964909579,27.2640622265,18.4842207661,22.1753420105,21.4676148648,6.87406422998,17.7037422839,32.6286431578,19.1933068729,26.5291949037,11.4588257946,22.8815909437,27.3133785857,18.7720326943,9.61194885689,21.3895334296,32.6047853856,22.3778804262,8.51103226781,18.8353209275,19.6927407152
12:45:00,45.7906771234,44.6143494622,41.5978422215,45.6692443038,88.3029948432,16.4618049719,49.2821307043,39.2691125415,28.7993860859,34.033632225,34.7013303439,36.1684197496,34.3389735009,29.2304090366,35.3431441002,35.8169739884,40.3954745057,46.4018321376,48.6449104337,33.5050417144,34.5381081293,35.9201830767,48.8243752815,37.7900505181,46.0930904999,35.6652757101,24.3240052025,32.0275523638,34.9291514725,44.9949539092,37.1773502979,42.5959316956,26.6829747852,31.4848558914,37.5924969808,36.6775256229,43.893843469,42.0034102883,36.2963583057,19.6918952092,47.3029643768,34.9632670609,28.6614171138,30.8833173308,34.731618559,46.7728866705,19.809181465,23.1833116789,23.6467808474,28.8590197427,17.7153766233,17.1634240123,39.2817155325,30.7094919599,20.5597734214,35.6174976822,34.5008979316,34.5207453992,38.4508815635,36.1977451297,50.8882923794,44.5431000742,32.2562009473,28.6393670734,42.0000544436,38.4776750073,31.3691886931,25.0286025982,12.3750515752,28.6444723834,35.5720547301,23.4582797629,29.6063781626,31.0503922172,9.31241369859,25.6158883724,37.0423505823,37.0895036111,32.5368395675,24.4387588911,33.7918014858,40.7121461642,26.8073806167,16.7500145026,32.4655289648,39.1275897672,24.762659494,22.2673476059,25.9320611122,34.002575931
13:00:00,44.1543086522,43.8044167947,36.0742519328,52.8159742633,88.1206453514,17.6488507521,48.9951561219,47.8919160061,25.6877247583,30.8404523997,56.1896593942,53.6733023758,47.9622310178,34.1099457808,33.3296408555,32.6278503322,35.2508270955,53.1335811156,59.2534488546,34.3776301046,30.7209114857,29.5492585421,47.8841776424,44.6687201589,46.8395842871,47.2934611074,24.1187373039,31.0841791888,26.7652501822,48.33976714,42.7225858749,55.4269984085,50.9170652499,34.7293974543,39.2869647168,37.9649509547,45.155591061,32.9810702962,46.1202902066,25.3277209098,41.7352315675,31.4464209294,27.9221525197,30.7401569743,37.4016064311,47.1303519994,24.0721278527,39.1614694631,30.2144876154,25.3764860613,19.312299236,22.397534992,36.3791239737,37.0790250309,25.9952522977,34.7579030632,32.5706984291,31.273863837,47.1703138738,37.5926116419,51.3435833847,49.8718258079,34.5467902881,31.2627632254,42.0000888802,38.4492325105,41.2032998105,37.1944046642,16.634392673,29.7065183298,40.2381381645,23.526832057,24.2234505619,53.2796324247,18.4981700365,37.9254534267,38.1866899133,36.7900204709,34.9036733854,31.2528253115,42.7407621926,49.2787373142,37.3172748309,19.7882579812,27.2128908961,43.4469194813,27.5165225921,32.3095623152,31.6763888661,39.2791379696
13:15:00,45.4765362007,34.907865074,39.5525954658,73.7478045826,80.1403739544,15.6046289644,37.0362076228,50.2950745666,23.9535568621,41.4434926861,58.7872837415,55.2310714166,51.5033969059,25.8763054711,33.1791080444,28.8870453475,33.480708698,59.6086042735,61.1382634376,39.1921870739,35.3836731746,30.9240362132,41.6647032469,40.2123226969,50.7458753901,43.9363995645,32.9866624933,33.1840222023,25.9711883961,44.8201802355,55.5214463866,57.4656690708,49.0582542893,45.2704487066,39.702004407,39.1352038027,47.6999220488,30.9468417465,43.8646859841,43.7634899672,40.3422591392,36.9273720281,31.7922223797,26.2374117182,32.8847721916,51.5475104805,29.5904671826,44.6420137155,33.3836669996,25.7410575592,25.467001228,21.9503699131,35.9509533323,42.5673483951,24.8107642816,42.0672016028,33.8863285399,31.9821573893,45.0466799799,48.0565382521,41.0696588809,50.7163124716,32.6772501166,35.1559714456,41.9995168816,32.1183925118,40.0888880532,48.1835627151,21.7526687064,30.7578916967,37.0459274418,25.0671609027,19.8751721423,55.6487941733,28.787048383,40.4191422674,38.1867143029,32.0946983622,40.6474573344,33.8224159703,45.3895450375,45.4504378356,36.3000556024,20.393819182,26.183572688,36.4803818343,22.2787224758,33.5955812899,38.8656405748,37.3734988069
13:30:00,55.9891927843,47.2948986902,67.5819441548,76.1584255093,88.7229799136,12.6636998004,36.5256681277,75.8258740883,31.0512841085,57.1580912718,56.1253901466,52.7609268676,52.174357736,24.1692941454,48.0476209075,44.3756276113,45.1641254008,72.0745122933,52.9635675846,48.1419322402,37.3452487663,40.9361037665,28.9405514327,44.6883189592,60.4447123133,48.521163386,51.2358837053,36.2424890624,38.8109296079,35.941583164,58.0116639908,68.2038341582,58.2608799551,35.0273561037,39.6047054351,37.1723880815,46.6939670859,35.634032679,45.3630211939,42.713369463,51.5168342648,31.9584139522,35.5418534222,21.7622445109,38.1340788795,54.7431655898,38.352954359,47.539291424,42.4149435067,29.3137714596,22.0469736545,29.8939118272,38.2185006825,41.4208865292,26.2173643956,45.5239061011,34.9604310533,34.1627085447,33.2807167219,45.8449757338,55.9313110898,53.7781882909,31.7647924155,37.1516146438,41.9968555296,42.1644817182,47.7361195601,46.4960698783,28.6852030609,26.4086720858,39.3976558291,29.1882289851,28.1756502195,52.8550119023,29.5530635123,49.6291254486,37.3005777699,38.9031734866,47.7492185378,41.5406686661,49.9916000674,48.8771603866,46.5813148875,22.3512581821,27.8006188436,34.6763893195,25.5232859792,27.9876862714,33.5332639632,37.345350722
13:45:00,47.1587494111,51.2570712928,70.1854146756,80.2634814639,86.8255229458,15.1143338078,40.2218443296,80.8808547699,24.8997395882,64.8646594831,63.9623279555,45.8713545592,42.1530310194,29.8656631311,49.3001742412,50.0042122255,45.5729963107,90.6928731231,42.0109403223,49.4982144819,41.5877620845,51.2366867468,31.8392890691,46.2409428038,71.1100896608,64.610829231,39.3078789412,46.3347654037,51.8365533509,35.0075635394,47.4165069787,72.4766934388,55.0967374061,33.2149790351,42.7421131152,37.7085696778,40.3056363374,47.3075336678,47.8019115505,42.2566268069,60.2291527253,37.8181200151,36.5190485784,29.3277011192,31.2547676184,55.9610159981,46.443672461,39.3475124211,42.732271647,28.0450893939,20.2496952905,30.7964446542,33.8935297746,52.2125799583,31.3184648457,52.4345133309,43.4423633596,35.5110258992,42.6063611406,48.6479923396,51.0967434238,58.5959567753,30.1541280017,32.5226012733,41.9954530899,40.0829017184,52.9662799381,48.7962921302,40.8606320575,23.6900221323,50.2362821759,26.3273899619,31.9872706854,53.1074783183,32.2997463694,57.8961508505,33.9192913035,32.1680984229,47.7154107753,35.5765614944,50.9049269551,54.70443927,37.9860886189,35.5069432392,28.6513469859,29.6795360877,30.9370151785,41.3923461027,33.0563010082,34.5193979255
14:00:00,30.5597492466,44.1369496297,61.5666821565,74.6943617745,100.175263632,12.6078035303,35.6263616441,63.5978159269,22.9049153071,49.862695928,66.8025450486,46.5615716452,51.8737569077,32.1492223016,37.8255537669,42.9271381798,48.3379865267,74.8801317773,35.9262848305,40.1130602751,39.64084929,44.1159730339,33.0829686981,46.1312384964,73.4688789034,70.556839898,35.2852891487,47.111146237,53.4908430786,35.9058773357,40.8426037337,73.0811050982,43.5288222494,38.7746158537,36.8142184102,34.6519336632,39.7631691098,39.8919084971,54.737760829,45.3388347777,66.2810676537,36.2009240082,26.6532765583,33.3243822007,29.0112907362,57.0131044787,46.4171609779,36.1679722994,35.6101708635,30.7477583976,20.8029083666,20.2871340421,41.5027975346,59.3065039157,39.0438338814,44.8664590533,37.377172316,32.095532601,40.9503830579,45.7058989835,42.4210483973,56.926238525,28.5420435376,25.0256933492,42.0301025328,35.7242369191,47.2394591931,46.7878966639,54.8555614081,25.5463836129,48.5282070412,35.0397076399,32.4159172376,46.0652671042,32.9999927758,61.2697118674,33.4280881945,27.8103908848,44.5603024484,31.6923858891,52.5715246987,59.3062049228,34.5262638543,36.1946607899,27.3168863012,26.3705230946,26.9738523578,39.839166913,39.4791540544,30.7668374083
14:15:00,26.1792413458,40.7063875202,64.0752749695,55.4476411299,96.2442330965,13.6520434335,28.0224021914,53.3060091758,23.4754073889,38.8051043829,49.5272097514,48.1172496877,50.2405653583,21.5471502199,31.5108027936,30.2566222085,51.3597980405,47.1240020395,42.2461010662,41.8563512772,37.1565256985,39.4972830391,37.0007521703,43.2108222652,67.1470549033,68.6023458763,44.1719658635,38.8742725352,43.8510487353,32.448645133,41.2315128524,58.0469929339,36.5527560319,48.4977745617,32.0998811309,34.8249683314,43.2384413359,34.2363842725,51.7078572991,42.3392980861,47.1829049302,30.6200595713,22.6835202871,34.8658772211,25.6204243769,50.1013138233,46.3912347886,40.6268424407,35.0004441295,25.7836315673,21.9374022084,16.0306990964,40.6377631429,54.9409340522,35.1385912955,40.5420457203,40.3862711839,24.8743928068,40.1759408904,49.7790831835,34.7918842871,54.5660863874,26.0840456685,23.1916401542,42.1810659292,28.1100545437,32.3529479504,34.2116293698,48.6402762499,28.0219769811,40.8770092242,40.6063462072,30.6947667203,40.3126687607,24.6292348588,46.837793388,32.019288699,20.0699843569,35.144054206,29.8848183404,40.3841227459,52.0119950825,40.3528414629,35.6787648788,35.8648961171,22.8346904182,22.7175880163,35.4342938052,34.2832153645,32.7648869069
14:30:00,28.4067822974,44.3677424871,44.3938999223,51.5762764735,100.75182614,10.6769526802,26.429531651,43.3565268642,25.9706588868,39.7178293443,28.9920399038,48.2083437972,57.4199172522,27.0944024323,29.9874269611,29.8334992482,49.1592675768,51.1108799199,49.2440406812,45.4673663951,43.3783137252,36.144206835,37.0921143557,45.0189253748,67.0818034886,65.4220986745,48.118869135,40.8153229019,48.0859894788,39.3892141544,43.0987555942,44.5932297619,31.8759378059,71.4298046235,40.7357769862,38.5308253432,41.2716378504,42.2711031287,56.8718809408,50.2489736653,37.6343138985,22.5795202618,34.8159971076,41.8219536384,25.186037322,47.2964820372,50.312098993,43.6705712327,28.7531857828,34.0369780239,23.8548824748,22.8205185021,35.8619104338,48.2891068614,24.9095180669,38.5189852503,42.3193500645,23.8504446624,32.6423624754,46.5689426226,38.8864253975,58.0501679604,26.5152056633,25.2942574782,42.2275800215,29.0195526244,27.7094449051,26.9292695001,51.6294476385,31.6971865617,38.6041971125,47.9113934524,23.8978236014,33.7813027468,20.1629769877,38.9912616273,31.6043311282,35.0829034766,30.7238022124,33.2266764478,34.0202035577,39.0892982592,44.354183771,33.2770016509,43.1941727488,23.4521471907,17.5134890748,31.8922027515,34.1583366565,49.5223900742
